en,ja,video_id,start,end
add boiled potatos and the spices,茹でたじゃがいもとスパイスを加えます,60TXip7-W-E,140,176
put 3 dozens of clams into a pot and boil them till they open up,アサリ3ダースを鍋に入れ、開くまで茹でます,UaQ_PwDnIis,58,75
take some water from the boiling pasta and keep it aside,パスタの茹で汁を少し取り分けておきます,on8-O_f69ys,229,236
boil the noodles,麺を茹でます,2u3n44OAbxU,134,140
stir and cook until the soup boils,スープが沸騰するまでかき混ぜて煮込みます,D4AnZ0ymfzw,72,85
mash some boiled potatoes and add in some half and half milk,茹でたじゃがいもをマッシュし、ハーフアンドハーフ、牛乳を加えます,8PFyEtZgSUs,39,85
boil them in boiled water and fry them with onion and butter and then serve,沸騰したお湯で茹で、玉ねぎとバターと炒めて出来上がりです,tlGFRoMj4uE,484,505
boil the snails in beer in a pot,鍋で沸かしたビールでカタツムリを茹でます,X0qjbOeJkF8,653,696
set high heat and boil some water,強火でお湯を沸かします,838pWl1iNKk,54,78
place boiled beef in a bowl,茹でた牛肉をボウルに入れます,k3nRPKCyyVg,35,50
add boiled potatoes and paneer to the pan,茹でたジャガイモとパニールをフライパンに加えます,GridojtCXDE,89,95
spread butter on the dish and pour boiled macaroni into it,皿にバターを塗り、茹でたマカロニを入れます,n2Tq29hTKgM,60,82
add the boiled chana water and stir well,ひよこ豆の茹で汁を加えてよくかき混ぜます,W2xZWTltJ10,465,505
boil the wanton in water,ワンタンをお湯で茹でます,5IL3Zl6rUu4,305,313
boil some water with salt and olive oil,水を沸騰させ、塩とオリーブオイルを入れます,5olHoTWB1Hw,12,19
cook the noodles in the boiled water and chicken stock,沸騰したお湯と鶏がらスープで麵を茹でます,-eyDS81FADw,97,108
boil water and add salt and penne to it,お湯を沸かし、塩とペンネを入れます,SRdsaqpnfd4,48,65
add boiled chick peas to pan and mix well,茹でたひよこ豆をフライパンに加えてよく混ぜます,NkCbbwxEdXU,147,155
add bulgur and boiling water to a bowl and let it sit,ブルグルと沸騰したお湯をボウルに入れ、放置します,wJ4b37dPlgI,92,110
boil the potstickers in chicken broth and water,餃子を鶏がらスープで茹でます,XVqF_2g0psA,263,290
put a pot of water on the stove and bring it to boil,鍋を火にかけてお湯を沸かします,on8-O_f69ys,30,33
add some water and a little fish sauce and boil,水と魚醤を少量加えて沸騰させます,aYyh8axyDg8,104,160
